big_proxy_acc,big_search_blocks,big_search_params,little_proxy_acc,little_search_blocks,little_search_params,original_cascade_acc_t070,source_genotype_id,genotype_id,threshold,cascade_acc,exit_ratio,little_acc,big_acc,little_params,big_params,total_params,total_bytes,little_flops,big_flops,cascade_flops,little_ece,routing_error_rate
0.6552,4,42218,0.6626,3,28986,0.7507,0,0,0.50,0.7533,0.8267,0.7301,0.7394,28986,42218,71204,329872,1740960,3146304,2286214,0.0307,0.0587
0.6552,4,42218,0.6626,3,28986,0.7507,0,0,0.60,0.7597,0.7222,0.7301,0.7394,28986,42218,71204,329872,1740960,3146304,2615003,0.0307,0.0361
0.6552,4,42218,0.6626,3,28986,0.7507,0,0,0.70,0.7596,0.6299,0.7301,0.7394,28986,42218,71204,329872,1740960,3146304,2905407,0.0307,0.0222
0.6552,4,42218,0.6626,3,28986,0.7507,0,0,0.80,0.7558,0.5281,0.7301,0.7394,28986,42218,71204,329872,1740960,3146304,3225701,0.0307,0.0114
0.6552,4,42218,0.6626,3,28986,0.7507,0,0,0.90,0.7491,0.4042,0.7301,0.7394,28986,42218,71204,329872,1740960,3146304,3615528,0.0307,0.0044
0.6552,4,42218,0.6626,3,28986,0.7507,0,0,0.95,0.7453,0.3072,0.7301,0.7394,28986,42218,71204,329872,1740960,3146304,3920719,0.0307,0.0014
0.6552,4,42218,0.6612,3,20939,0.7399,1,1,0.50,0.7101,0.7979,0.6753,0.7084,20939,42218,63157,297684,803744,3146304,1439612,0.0562,0.0869
0.6552,4,42218,0.6612,3,20939,0.7399,1,1,0.60,0.7224,0.6822,0.6753,0.7084,20939,42218,63157,297684,803744,3146304,1803639,0.0562,0.0556
0.6552,4,42218,0.6612,3,20939,0.7399,1,1,0.70,0.7305,0.5765,0.6753,0.7084,20939,42218,63157,297684,803744,3146304,2136204,0.0562,0.0325
0.6552,4,42218,0.6612,3,20939,0.7399,1,1,0.80,0.7298,0.4634,0.6753,0.7084,20939,42218,63157,297684,803744,3146304,2492051,0.0562,0.0161
0.6552,4,42218,0.6612,3,20939,0.7399,1,1,0.90,0.7223,0.3328,0.6753,0.7084,20939,42218,63157,297684,803744,3146304,2902958,0.0562,0.0054
0.6552,4,42218,0.6612,3,20939,0.7399,1,1,0.95,0.7173,0.2429,0.6753,0.7084,20939,42218,63157,297684,803744,3146304,3185811,0.0562,0.0021
0.6978,3,63979,0.5960,2,15171,0.7293,2,2,0.50,0.7160,0.7599,0.6664,0.7527,15171,63979,79150,361656,1236856,1710064,1647442,0.0295,0.0884
0.6978,3,63979,0.5960,2,15171,0.7293,2,2,0.60,0.7386,0.6293,0.6664,0.7527,15171,63979,79150,361656,1236856,1710064,1870777,0.0295,0.0517
0.6978,3,63979,0.5960,2,15171,0.7293,2,2,0.70,0.7500,0.5153,0.6664,0.7527,15171,63979,79150,361656,1236856,1710064,2065724,0.0295,0.0297
0.6978,3,63979,0.5960,2,15171,0.7293,2,2,0.80,0.7539,0.3938,0.6664,0.7527,15171,63979,79150,361656,1236856,1710064,2273497,0.0295,0.0138
0.6978,3,63979,0.5960,2,15171,0.7293,2,2,0.90,0.7554,0.2611,0.6664,0.7527,15171,63979,79150,361656,1236856,1710064,2500422,0.0295,0.0045
0.6978,3,63979,0.5960,2,15171,0.7293,2,2,0.95,0.7552,0.1625,0.6664,0.7527,15171,63979,79150,361656,1236856,1710064,2669035,0.0295,0.0005
0.6934,3,44075,0.5960,2,15171,0.7066,3,3,0.50,0.6738,0.7840,0.6090,0.7558,15171,44075,59246,282040,1236856,1467296,1553792,0.0992,0.1350
0.6934,3,44075,0.5960,2,15171,0.7066,3,3,0.60,0.7051,0.6528,0.6090,0.7558,15171,44075,59246,282040,1236856,1467296,1746301,0.0992,0.0911
0.6934,3,44075,0.5960,2,15171,0.7066,3,3,0.70,0.7267,0.5322,0.6090,0.7558,15171,44075,59246,282040,1236856,1467296,1923257,0.0992,0.0584
0.6934,3,44075,0.5960,2,15171,0.7066,3,3,0.80,0.7441,0.4105,0.6090,0.7558,15171,44075,59246,282040,1236856,1467296,2101827,0.0992,0.0307
0.6934,3,44075,0.5960,2,15171,0.7066,3,3,0.90,0.7536,0.2672,0.6090,0.7558,15171,44075,59246,282040,1236856,1467296,2312091,0.0992,0.0102
0.6934,3,44075,0.5960,2,15171,0.7066,3,3,0.95,0.7578,0.1747,0.6090,0.7558,15171,44075,59246,282040,1236856,1467296,2447815,0.0992,0.0023
0.6552,4,42218,0.6312,3,17787,0.7340,4,4,0.50,0.7243,0.8148,0.7052,0.7123,17787,42218,60005,285076,759712,3146304,1342408,0.0383,0.0682
0.6552,4,42218,0.6312,3,17787,0.7340,4,4,0.60,0.7325,0.7005,0.7052,0.7123,17787,42218,60005,285076,759712,3146304,1702030,0.0383,0.0435
0.6552,4,42218,0.6312,3,17787,0.7340,4,4,0.70,0.7347,0.5899,0.7052,0.7123,17787,42218,60005,285076,759712,3146304,2050011,0.0383,0.0254
0.6552,4,42218,0.6312,3,17787,0.7340,4,4,0.80,0.7323,0.4767,0.7052,0.7123,17787,42218,60005,285076,759712,3146304,2406173,0.0383,0.0131
0.6552,4,42218,0.6312,3,17787,0.7340,4,4,0.90,0.7238,0.3461,0.7052,0.7123,17787,42218,60005,285076,759712,3146304,2817080,0.0383,0.0056
0.6552,4,42218,0.6312,3,17787,0.7340,4,4,0.95,0.7204,0.2515,0.7052,0.7123,17787,42218,60005,285076,759712,3146304,3114721,0.0383,0.0018
